malaffi_code,malaffi_description,hms_name,is_default
UNA,United Nations,United Nations Organization,
BID,Without Nationality,United Nations Specialized Agency,
BID,Without Nationality,Resident of Kosovo,
BID,Without Nationality,African Development Bank,
BID,Without Nationality,African Export-Import Bank,
BID,Without Nationality,Caribbean Community or one of its emissaries,
BID,Without Nationality,Common Market for Eastern and Southern Africa,
BID,Without Nationality,Economic Community of West African States,
BID,Without Nationality,International Criminal Police Organization,
BID,Without Nationality,Sovereign Military Order of Malta,
BID,Without Nationality,Stateless Person,
BID,Without Nationality,Refugee as defined in Article 1 of the 1951,
BID,Without Nationality,Refugee,
BID,Without Nationality,Person of unspecified nationality,
