malaffi_code,malaffi_description,hms_name,is_default
MLI,Malian,Mali,
MLT,Maltese,Malta,
MMR,Myanmarese,Myanmar,
MNG,Mongolian,Mongolia,
MON,Montenegrin,,
MOZ,Mozambican,Mozambique,
MRT,Mauritanian,Mauritania,
MUS,Mauritian,Mauritius,
MWI,Malawian,Malawi,
MYS,Malaysian,Malaysia,
NAM,Namibian,Namibia,
NER,Nigerien,Niger,
NGA,Nigerian,Nigeria,
NIC,Nicaraguan,Nicaragua,
NIU,Niuean,Niue,
NLD,Dutch,Netherlands,
NOR,Norwegian,Norway,
NPL,Nepalese,Nepal,
NRU,Nauruan,Nauru,
NZL,New Zealander,New Zealand,
OMN,Omani,Oman,
PAK,Pakistani,Pakistan,
PAN,Panamanian,Panama,
PER,Peruvian,Peru,
PHL,Philippine,Philippines,
PLW,Palauan,Palau,
PNG,Papua New Guinean,Papua New Guinea,
POL,Polish,Poland,
PRT,Portuguese,Portugal,
PRY,Paraguayan,Paraguay,
PSE,Palestinian,Palestine,
QAT,Qatari,Qatar,
ROM,Romanian,,
RUS,Russian,Russian Federation,
RWA,Rwandan,Rwanda,
SAU,Saudi,Saudi Arabia,
SDN,Sudanese,Sudan,
SEN,Senegalese,Senegal,
SGP,Singaporean,Singapore,
SLB,Solomon Islander,Solomon Islands,
SLE,Sierra Leonean,Sierra Leone,
SLV,Salvadoran,El Salvador,
SMR,Sammarinese,San Marino,
SOM,Somali,Somalia,
SRB,Serbian,Serbia,
SSD,South Sudanese,South Sudan,
STP,Sao Tomean,Sao Tome and Principe,
SUR,Surinamese,Suriname,
SVK,Slovak,Slovakia,
SVN,Slovenian,Slovenia,
SWE,Swedish,Sweden,
SWZ,Swazi,Swaziland,
SYC,Seychellois,Seychelles,
SYR,Syrian,Syrian Arab Republic,
TCD,Chadian,Chad,
TGO,Togolese,Togo,
THA,Thai,Thailand,
TJK,Tajikistani,Tajikistan,
TKM,Turkmen,Turkmenistan,
TLS,Timorese,Timor-Leste,
TON,Tongan,Tonga,
TTO,Trinidadian,Trinidad and Tobago,
TUN,Tunisian,Tunisia,
TUR,Turkish,Turkey,
TUV,Tuvaluan,Tuvalu,
TWN,Taiwanese,Taiwan,
TZA,Tanzanian,Tanzania,
UGA,Ugandan,Uganda,
UKR,Ukrainian,Ukraine,
UNA,United Nations,,
URY,Uruguayan,Uruguay,
USA,American,United States of America,
UZB,Uzbek,Uzbekistan,
VAT,Vatican,Vatican City,
VCT,Vincentian,Saint Vincent and the Grenadines,
VEN,Venezuelan,Venezuela,
VNM,Vietnamese,Viet Nam,
VUT,Ni-Vanuatu,Vanuatu,
YEM,Yemeni,Yemen,
ZAF,South African,South Africa,
ZMB,Zambian,Zambia,
ZWE,Zimbabwean,Zimbabwe,
BID,Bidoun,OTHER,
AUS,Australian,Heard Island and McDonald Islands,
ITA,Italian,ITLY,
ARE,Emirati,UAE,
FIN,Finnish,Åland Islands,
GBR,British,Anguilla,
BID,Bidoun,Antarctica,true
NLD,Dutch,Aruba,
GBR,British,Bermuda,
NOR,Norwegian,Bouvet Island,
GBR,British,British Indian Ocean Territory,
GBR,British,Cayman Islands,
AUS,Australian,Christmas Island,
AUS,Australian,Cocos (Keeling) Islands,
NLD,Dutch,Curaçao,
DNK,Danish,Faroe Islands,
FRA,French,France,
FRA,French,French Guiana,
FRA,French,French Polynesia,
FRA,French,French Southern Territories,
GBR,British,Gibraltar,
DNK,Danish,Greenland,
FRA,French,Guadeloupe,
USA,American,Guam,
GBR,British,Guernsey,
CHN,Chinese,Hong Kong,
GBR,British,Isle of Man,
GBR,British,Jersey,
KOR,Korean,North Korea,
DEU,German,Liechtenstein,
CHN,Chinese,Macao,
FRA,French,Martinique,
FRA,French,Mayotte,
MON,Montenegrin,Montenegro,
GBR,British,Montserrat,
FRA,French,New Caledonia,
AUS,Australian,Norfolk Island,
USA,American,Northern Mariana Islands,
GBR,British,Pitcairn,
USA,American,Puerto Rico,
FRA,French,Réunion,
ROM,Romanian,Romania,
FRA,French,Saint Barthélemy,
FRA,French,Saint Martin (French),
FRA,French,Saint Pierre and Miquelon,
NLD,Dutch,Sint Maarten (Dutch),
GBR,British,South Georgia and the South Sandwich Islands,
NOR,Norwegian,Svalbard and Jan Mayen,
NZL,New Zealander,Tokelau,
GBR,British,Turks and Caicos Islands,
USA,American,US Minor Outlying Islands,
GBR,British,Virgin Islands (British),
USA,American,Virgin Islands (U.S.),
FRA,French,Wallis and Futuna,
GBR,British,European Union,
GBR,British,British Overseas Territories Citizen,
GBR,British,British National,
GBR,British,British Overseas Citizen,
BID,Bidoun,British Protected Person,
BID,Bidoun,British Subject,
UNA,United Nations,United Nations Organization,
BID,Bidoun,United Nations Specialized Agency,
BID,Bidoun,Resident of Kosovo,
BID,Bidoun,African Development Bank,
BID,Bidoun,African Export-Import Bank,
BID,Bidoun,Caribbean Community or one of its emissaries,
BID,Bidoun,Common Market for Eastern and Southern Africa,
BID,Bidoun,Economic Community of West African States,
BID,Bidoun,International Criminal Police Organization,
BID,Bidoun,Sovereign Military Order of Malta,
BID,Bidoun,Stateless Person,
BID,Bidoun,Refugee as defined in Article 1 of the 1951,
BID,Bidoun,Refugee,
BID,Bidoun,Person of unspecified nationality,
