malaffi_code,malaffi_description,hms_name,is_default
30,Occupational Medicine,Occupational Therapy,
31,Ophthalmology,Eye & Ocular Adnexa,
31,Ophthalmology,OCMC OPHTHALMOLOGY,
31,Ophthalmology,Ophthalmologist,
31,Ophthalmology,Ophthalmology,
31,Ophthalmology,Ophthalmology NNMC,
31,Ophthalmology,Opthalmology,
32,Oral and Maxilofacial Surgery,ORAL & FACIO-MAXILLARY SURGERY,
32,Oral and Maxilofacial Surgery,Oral And Maxillofacial Surgery,
34,Orthodontics,Orthodontic,
34,Orthodontics,Orthodontics,
34,Orthodontics,Orthodontist,
34,Orthodontics,Specialist Dentist - Orthodontic,
34,Orthodontics,SPECIALIST ORTHODONTICS,
34,Orthodontics,SPECIALIST ORTHODONTIST,
35,Otolaryngology,Otolaryngology,
36,Pathology,Clinical Pathologist,
36,Pathology,Clinical Pathology,
36,Pathology,Laboratory,
36,Pathology,LLHMC PHLEBOTOMY,
36,Pathology,LLHMC02 PHLEBOTOMY,
36,Pathology,OCMC LABORATORY,
36,Pathology,PATHOLOGIST,
36,Pathology,Pathology,
37,Pediatric Dentistry,Specialist Dentist Paediatric,
38,Pediatrics,LLHMC PEDIATRIC,
38,Pediatrics,PAEDIATRIC,
38,Pediatrics,Paediatrician,
38,Pediatrics,Paediatrics,
38,Pediatrics,PAEDIATRICS-Teleconsultation,
38,Pediatrics,PEADIATRICS,
38,Pediatrics,Pediatric,
38,Pediatrics,Pediatric Nephrology,
38,Pediatrics,Pediatric Pulmonology,
38,Pediatrics,Pediatrician,
38,Pediatrics,Pediatrics,
38,Pediatrics,PEDIATRICS-Tele Consult,
38,Pediatrics,Specialist Pediatric,
38,Pediatrics,Specialist Pediatrician,
38,Pediatrics,SPECIALIST PEDIATRICS,
39,Periodontics,PEDODONTIST,
39,Periodontics,PERIODONTIST,
40,Physical Medicine and Rehabilitation,Physical Medicine & Rehabilitation,
40,Physical Medicine and Rehabilitation,Physical Medicine And Rehabilitation,
40,Physical Medicine and Rehabilitation,Physio_recovery,
40,Physical Medicine and Rehabilitation,Physiotheraphy,
40,Physical Medicine and Rehabilitation,Physiotherapist,
40,Physical Medicine and Rehabilitation,PhysioTherapy,
40,Physical Medicine and Rehabilitation,Physiotherepy,
40,Physical Medicine and Rehabilitation,Physiotherphy,
40,Physical Medicine and Rehabilitation,Rehabilitation,
41,Plastic Surgery,Plastic,
41,Plastic Surgery,Plastic Surgeon,
41,Plastic Surgery,Plastic Surgery,
42,Prosthodontics,Specialist - Prosthodontic,
42,Prosthodontics,Specialist Prosthodontics,
43,Psychiatry,Consultant Psychiatrist,
43,Psychiatry,PHYSIATRIST,
43,Psychiatry,PSYCHIATRIST,
43,Psychiatry,Psychiatry,
43,Psychiatry,Specialist Psychiatrist,
46,Radiology,LLHMC RADIOLOGY,
46,Radiology,OCMC RADIOLOGY,
46,Radiology,Radiographer,
46,Radiology,Radiologist,
46,Radiology,Radiology,
50,Urology,Urinary System,
50,Urology,Urology,
50,Urology,UROLOGY - Teleconsultation,
50,Urology,UROLOGY-Tele Consult,
50,Urology,UROLOGY-Teleconsultation,
50,Urology,Urology1,
51,General Surgery,LAPROSCOPIC SURGERY,
51,General Surgery,Eneral Surgery,
51,General Surgery,General Surgeon,
51,General Surgery,General surgery,
51,General Surgery,GENERAL SURGERY - Teleconsultation,
51,General Surgery,General Surgery Specialist And Osteopath,
51,General Surgery,GENERAL SURGERY-Tele Consulatation,
51,General Surgery,GENERAL SURGERY-Tele Consult,
51,General Surgery,Surgery,
52,Gastroenterology,Digestive System,
52,Gastroenterology,Endoscopy,
52,Gastroenterology,Gastroenterologist,
52,Gastroenterology,Gastroenterology,
52,Gastroenterology,GASTROENTEROLOGY - Teleconsultation,
52,Gastroenterology,GASTROENTEROLOGY-Teleconsultation,
52,Gastroenterology,Gastrology,
52,Gastroenterology,OPD-GASTROENTEROLOGY,
55,Cardiovascular Disease,Cardiovascular System,
55,Cardiovascular Disease,CHEST MEDICINE,
56,Dermatology & Genito Urinary Medicine,DERMATOLOGY AND VENOROLOGY,
57,Endocrinology,Endocrine System,
57,Endocrinology,Endocrinology,
58,Endocrinology,Diabetes And Endocrinology,
58,Endocrinology,DIABETOLOGY,
64,Infectious Diseases,Infectious Diseases,
67,Medical Oncology,Oncology,
68,Neonatology,Neonatology,
69,Nephrology,Nephrology,
69,Nephrology,Nephrology And Urology,
69,Nephrology,Specialist Nephrologist,
70,Neurological Surgery,NEURO SURGERY,
70,Neurological Surgery,NEURO SURGERY-Tele Consult,
70,Neurological Surgery,Neurological Surgery,
70,Neurological Surgery,Neurosurgery,
71,Obstetrics & Gynecology / Maternal & Fetal Medicine,Maternity,
71,Obstetrics & Gynecology / Maternal & Fetal Medicine,Maternity Care & Delivery,
72,Obstetrics & Gynecology /Reproductive Endicronology/ Infertility,Gynecology And IVF,
72,Obstetrics & Gynecology /Reproductive Endicronology/ Infertility,IVF,
72,Obstetrics & Gynecology /Reproductive Endicronology/ Infertility,Ob-Gyn IVF,
74,Orthopedic Surgery,LLHMC ORTHOPEDICS,
74,Orthopedic Surgery,ORTHO,
74,Orthopedic Surgery,Orthopaedic,
74,Orthopedic Surgery,Orthopaedics,
74,Orthopedic Surgery,ORTHOPAEDICS - Teleconsultation,
74,Orthopedic Surgery,ORTHOPAEDICS-Teleconsultation,
74,Orthopedic Surgery,ORTHOPEADICSS,
74,Orthopedic Surgery,Orthopedic,
74,Orthopedic Surgery,Orthopedic Surgeon,
74,Orthopedic Surgery,Orthopedic Surgery,
74,Orthopedic Surgery,Orthopedics,
74,Orthopedic Surgery,ORTHOPEDICS-Tele Consult,
74,Orthopedic Surgery,Orthopediste,
75,Orthopedic Surgery/ Traumatology,Musculoskeletal System,
77,Pediatric Cardiology,Pediatric Cardiology,
83,Pediatric Neurology,Pediatric Neurology,
84,Pediatric Surgery,PAEDIATRIC SURGERY,
84,Pediatric Surgery,PEDIATRIC SURGERY,
85,Pain Medicine,Pain Medicine,
86,Pediatrics/ Pulmonology,Pulmonology,
86,Pediatrics/ Pulmonology,PULMONOLOGY - Teleconsultation,
86,Pediatrics/ Pulmonology,PULMONOLOGY-Teleconsultation,
86,Pediatrics/ Pulmonology,Pulmonory,
86,Pediatrics/ Pulmonology,PULMONORY MEDICINE,
87,Reproductive Medicine and Infertility,Reproductive Endocrinology And Infertility,
87,Reproductive Medicine and Infertility,Reproductive System & Intersex,
88,Respiratory Medicine,RHEUMATOLOGY,
88,Respiratory Medicine,Respiratory System,
88,Respiratory Medicine,Respiratory Therapist,
88,Respiratory Medicine,Respiratory Therapy,
88,Respiratory Medicine,Respiratory/Hospital Director,
89,Rheumatology,Rheumatology,
89,Rheumatology,RHEUMATOLOGY / INTERNAL MEDICINE,
91,Dental,Dental,
91,Dental,Dental Clinic,
91,Dental,Dentist,
91,Dental,Dentistry,
91,Dental,LLHMC DENTAL,
92,Diet,Diet & Nutrition,
92,Diet,DIETARY,
92,Diet,Dietetics,
92,Diet,DieteticsOLD,
92,Diet,Dietician,
92,Diet,Dietitian,
92,Diet,Dietration Clinic,
92,Diet,Nutrition,
92,Diet,Nutrition And Dietetics,
94,Speech Therapy,Hearing & Speech,
94,Speech Therapy,Speech Therapist,
94,Speech Therapy,Speech Therapy,
94,Speech Therapy,Speech Therapy Pathologist,
95,Podiatry,Podiatry,
96,Pharmacy,Pharmacist,
96,Pharmacy,Pharmacy,
103,Home Care,Home Care,
103,Home Care,HOMECARE,
103,Home Care,MidWifery & Homecare,
106,Nursing,Nurse,
106,Nursing,Nurse Assistant,
106,Nursing,Nursing,
106,Nursing,Nursing Desk,
109,Customer Services,CUSTOMER CARE,
109,Customer Services,Customer Services,
131,Bariatric Medicine,Bariatric,
133,Psychology,CDA PSYCHOLOGIST,
133,Psychology,Psychologist,
133,Psychology,Psychology,
133,Psychology,Psychomotor Therapy,
134,Speech and Language Therapy,Speech And Language,
135,Geriatric Medicine,GENERAL MEDICINE,
136,Cardiothoracic surgery,Cardiothoracic Surgery,
136,Cardiothoracic surgery,CARDIOTHORASIC SURGERY,
136,Cardiothoracic surgery,Thoracic,
137,Behavioral Health,Behavioural Therapy,
138,Home Health Services,Home Vist,
140,Optometry,Optometry,
144,Chiropractic Medicine,Chiropractic,
153,Otology/Neuro Otology,Otolarngology,
156,Professional Counseling,Counsellor,
158,Referral Physician,Referral,
160,Sports Medicine,Sports Medicine,
160,Sports Medicine,Sports Therapy And Rehabilitaton,
162,ENT,LLHMC ENT,
162,ENT,ENT,
162,ENT,ENT - Teleconsultation,
162,ENT,ENT-Tele Consult,
162,ENT,ENT-Teleconsultation,
162,ENT,ENTT,
163,Vascular Surgery,VASCULAR SURGERY,
164,Beauty Clinic,Aesthetic,
164,Beauty Clinic,Aesthetics,
164,Beauty Clinic,Aesthetics & Plastic Surgery,
164,Beauty Clinic,Beauticion,
164,Beauty Clinic,Beauty,
164,Beauty Clinic,Beauty And Laser,
164,Beauty Clinic,Beauty Shop,
164,Beauty Clinic,Bioaesthetics,
164,Beauty Clinic,COSMATOLOGY,
164,Beauty Clinic,Cosmesurge,
164,Beauty Clinic,COSMETIC,
164,Beauty Clinic,COSMETICS,
164,Beauty Clinic,COSMETICSsss,
164,Beauty Clinic,Cosmetology,
164,Beauty Clinic,Cosmotology,
164,Beauty Clinic,Facial & Laser,
164,Beauty Clinic,Facial & Laser Department,
164,Beauty Clinic,Hydra Faical,
164,Beauty Clinic,Laser,
164,Beauty Clinic,Laser & Hydra Faical,
164,Beauty Clinic,Laser 1,
164,Beauty Clinic,Laser 2,
164,Beauty Clinic,Laser Department,
164,Beauty Clinic,Laser Dept,
164,Beauty Clinic,Laser Hair Removal,
164,Beauty Clinic,Laser Technician,
165,Medical/Surgical,Other Surgery,
167,Clinical Psychology,Clinical Psychologist,
